id,type1simline,type2simline,type3simline,type1simtok,type2simtok,type3simtok,fragment1,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces,fragment2,path,startline,endline,lines,prettylines,tokens,functions_intersected,unmatched_braces
22830651,,,,0.627451,0.764706,0.764706,533585,source/net/filebot/similarity/Match.java,25,32,8,,51,1,0,533600,source/net/filebot/web/EpisodeInfo.java,83,90,8,,51,1,0
28418454,,,,0.960396,0.970297,0.970297,1238576,source/net/filebot/ui/filter/MediaInfoTool.java,42,57,16,,99,0,0,1238577,source/net/filebot/ui/filter/AttributeTool.java,37,52,16,,101,2,0
22830645,,,,0.615385,0.730769,0.730769,533585,source/net/filebot/similarity/Match.java,25,32,8,,51,1,0,533671,source/net/filebot/vfs/SimpleFileInfo.java,48,55,8,,52,1,0
22830452,,,,0.568627,0.764706,0.764706,533585,source/net/filebot/similarity/Match.java,25,32,8,,51,1,0,533587,source/net/filebot/web/SeriesInfo.java,183,189,7,,51,1,0
22830481,,,,0.627451,0.764706,0.764706,533585,source/net/filebot/similarity/Match.java,25,32,8,,51,1,0,533614,source/net/filebot/History.java,63,70,8,,47,1,0
22830428,,,,0.333333,0.54902,0.54902,533585,source/net/filebot/similarity/Match.java,25,32,8,,51,1,0,533586,source/net/filebot/similarity/FileNameMetric.java,26,33,8,,37,1,0
26804822,,,,0.979779,0.983456,0.983456,755799,source/net/filebot/cli/CmdlineOperations.java,311,384,74,,543,0,1,755800,source/net/filebot/ui/rename/MovieMatcher.java,74,147,74,,544,0,0
22830361,,,,0.575758,0.818182,0.818182,533548,source/net/filebot/ui/transfer/DefaultTransferHandler.java,34,43,10,,33,1,0,533549,source/net/filebot/ui/transfer/DefaultTransferHandler.java,80,87,8,,30,1,0
22830523,,,,0.588235,0.705882,0.705882,533585,source/net/filebot/similarity/Match.java,25,32,8,,51,1,0,533624,source/net/filebot/History.java,168,175,8,,38,1,0
22830486,,,,0.453125,0.609375,0.609375,533585,source/net/filebot/similarity/Match.java,25,32,8,,51,1,0,533621,source/net/filebot/History.java,112,119,8,,64,1,0
28418380,,,,0.90411,0.972603,0.972603,1238455,source/net/filebot/hash/MessageDigestHash.java,26,38,13,,71,2,0,1238456,source/net/filebot/hash/Ed2kHash.java,22,33,12,,73,2,0
26804860,,,,0.967213,1,1,755871,source/net/filebot/util/ui/notification/QueueNotificationLayout.java,57,61,5,,61,1,1,755872,source/net/filebot/util/ui/notification/SimpleNotificationLayout.java,42,46,5,,61,1,1
22830662,,,,0.571429,0.738095,0.738095,533603,source/net/filebot/archive/ExtractOutStream.java,24,31,8,,42,1,0,533665,source/net/filebot/util/ui/SimpleLabelProvider.java,74,80,7,,37,1,0
22830512,,,,0.571429,0.714286,0.714286,533603,source/net/filebot/archive/ExtractOutStream.java,24,31,8,,42,1,0,533629,source/net/filebot/util/prefs/FilePreferences.java,68,74,7,,32,1,0
22830614,,,,0.571429,0.738095,0.738095,533603,source/net/filebot/archive/ExtractOutStream.java,24,31,8,,42,1,0,533657,source/net/filebot/util/ui/SimpleLabelProvider.java,65,71,7,,37,1,0
28418342,,,,0.924528,0.962264,0.962264,1238398,source/net/filebot/util/ui/RoundBorder.java,2,10,9,,51,0,0,1238399,source/net/filebot/util/ui/FancyTreeCellRenderer.java,2,10,9,,53,0,0
